iter	Passed	Remaining
336	169241	81858
337	169754	81361
338	170257	80859
339	170749	80352
340	171253	79851
341	171871	79402
342	172409	78916
343	172886	78402
344	173408	77908
345	173922	77410
346	174414	76903
347	174933	76407
348	175436	75905
349	175937	75401
350	176372	74870
351	176458	74192
352	176904	73668
353	177452	73186
354	177928	72675
355	178359	72145
356	178792	71617
357	179356	71141
358	179515	70506
359	179942	69977
360	180376	69452
361	180846	68941
362	181310	68428
363	181780	67918
364	182244	67405
365	182723	66898
366	183248	66408
367	183801	65928
368	184363	65451
369	184940	64979
370	185451	64482
371	185975	63991
372	186602	63534
373	187170	63057
374	187743	62581
375	188282	62093
376	188819	61604
377	189370	61119
378	189913	60632
379	190502	60158
380	191174	59710
381	191751	59232
382	192351	58760
383	193027	58310
384	193581	57823
385	194128	57333
386	194701	56850
387	195215	56350
388	195692	55840
389	196220	55344
390	196732	54843
391	197317	54363
392	198053	53922
393	198588	53427
394	199285	52974
395	199795	52471
396	200422	51998
397	200937	51496
