iter	Passed	Remaining
262	112857	101700
263	113262	101250
264	113658	100791
265	114076	100353
266	114480	99902
267	114891	99458
268	115300	99012
269	115715	98572
270	116137	98138
271	116566	97710
272	116969	97260
273	117373	96811
274	117776	96362
275	118212	95940
276	118623	95497
277	119041	95062
278	119456	94623
279	119864	94178
280	120282	93743
281	120694	93302
282	121103	92860
283	121522	92425
284	121932	91984
285	122356	91553
286	122763	91110
287	123172	90668
288	123585	90230
289	124000	89793
290	124418	89359
291	124834	88923
292	125252	88489
293	125671	88055
294	126068	87607
295	126485	87172
296	126885	86726
297	127293	86285
298	127708	85851
299	128133	85422
300	128546	84986
301	128966	84553
302	129416	84141
303	129867	83730
304	130389	83363
305	130910	82995
306	131315	82553
307	131744	82126
308	132177	81702
309	132577	81257
310	132979	80814
311	133379	80369
312	133779	79925
313	134184	79485
314	134614	79059
315	135038	78629
316	135448	78192
317	135845	77748
318	136245	77305
319	136654	76868
320	137051	76424
321	137453	75983
322	137854	75542
323	138266	75107
324	138675	74671
325	139080	74233
326	139491	73798
327	139899	73362
328	140316	72930
329	140736	72500
330	141142	72063
331	141548	71627
332	141947	71187
333	142413	70780
334	142842	70355
335	143290	69939
336	143801	69553
337	144248	69136
338	144655	68700
339	145067	68267
340	145468	67828
341	145877	67393
342	146285	66958
343	146686	66520
344	147115	66095
345	147670	65726
346	148080	65292
347	148489	64857
348	148890	64419
349	149312	63990
350	149746	63567
351	149842	63002
352	150313	62595
353	150766	62180
354	151176	61748
355	151582	61314
356	151996	60883
357	152405	60451
358	152536	59909
359	152948	59480
360	153372	59054
361	153779	58623
362	154178	58188
363	154583	57756
364	154988	57324
365	155393	56892
366	155808	56464
367	156211	56032
368	156622	55603
369	157032	55173
370	157447	54745
371	157850	54314
372	158261	53885
373	158666	53454
374	159153	53051
375	159582	52628
376	160032	52212
377	160503	51802
378	161049	51416
379	161594	51029
380	162027	50606
381	162444	50179
382	162855	49749
383	163257	49317
384	163671	48888
385	164082	48459
386	164488	48028
387	164892	47597
388	165292	47165
389	165700	46736
390	166131	46312
391	166536	45882
392	166948	45454
393	167364	45027
394	167772	44597
395	168182	44169
396	168586	43738
397	168995	43310
